date,n_positive,n_negative,n_neutral,n_total,neutral_ratio,s1_primary,s2_alternate,s3_prob_weighted,s4_conf_weighted,avg_confidence,avg_pos_prob,avg_neg_prob,avg_neu_prob
2017-02-13,51,52,63,166,0.3795,-0.009709,-0.006024,-0.069287,-0.055556,0.6873,0.3088,0.3781,0.3132
2017-02-14,41,63,60,164,0.3659,-0.211538,-0.134146,-0.168603,-0.368421,0.7064,0.2566,0.4252,0.3182
2017-02-15,24,34,57,115,0.4957,-0.172414,-0.086957,-0.150593,-0.409091,0.6717,0.2467,0.3973,0.3561
2017-02-16,49,37,64,150,0.4267,0.139535,0.08,0.005,0.080645,0.6836,0.333,0.328,0.339
2017-02-17,50,41,92,183,0.5027,0.098901,0.04918,-0.045364,0.013699,0.6834,0.2922,0.3375,0.3703
2017-02-18,17,7,24,48,0.5,0.416667,0.208333,0.070413,0.285714,0.6485,0.345,0.2746,0.3804
2017-02-19,9,22,36,67,0.5373,-0.419355,-0.19403,-0.175924,-0.333333,0.6326,0.2131,0.389,0.398
2017-02-20,25,32,29,86,0.3372,-0.122807,-0.081395,-0.117717,-0.190476,0.7213,0.2969,0.4146,0.2884
2017-02-21,41,43,77,161,0.4783,-0.02381,-0.012422,-0.063598,-0.064516,0.6782,0.2926,0.3562,0.3512
2017-02-22,48,37,74,159,0.4654,0.129412,0.069182,-0.000572,0.152542,0.6739,0.3215,0.3221,0.3565
2017-02-23,35,46,65,146,0.4452,-0.135802,-0.075342,-0.104449,-0.169492,0.6871,0.2708,0.3753,0.3539
2017-02-24,18,31,43,92,0.4674,-0.265306,-0.141304,-0.182883,-0.365854,0.7019,0.2401,0.423,0.3369
2017-02-25,9,7,10,26,0.3846,0.125,0.076923,0.01899,0.142857,0.7147,0.3653,0.3463,0.2884
2017-02-26,17,13,18,48,0.375,0.133333,0.083333,-0.01052,-0.111111,0.674,0.3269,0.3374,0.3357
2017-02-27,31,46,62,139,0.446,-0.194805,-0.107914,-0.152239,-0.285714,0.6864,0.2449,0.3971,0.358
2017-02-28,55,60,77,192,0.401,-0.043478,-0.026042,-0.06809,-0.101124,0.6998,0.304,0.3721,0.3239
2017-03-01,58,57,92,207,0.4444,0.008696,0.004831,-0.061079,-0.034483,0.69,0.3022,0.3633,0.3345
2017-03-02,32,39,58,129,0.4496,-0.098592,-0.054264,-0.065042,0.018868,0.6752,0.2968,0.3619,0.3413
